UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total_Students,WEAPON11,DRUG11,LIQUOR11,WEAPON12,DRUG12,LIQUOR12,WEAPON13,DRUG13,LIQUOR13
190415001,Cornell University,Main Campus,G-2 Barton Hall Cornell University,ITHACA,NY,148531701,2,"Private nonprofit, 4-year or above",11074,10519,21593,0,31,240,1,46,251,5,122,389
190503001,Culinary Institute of America,The Culinary Institute of America - Main Campus,1946 Campus Drive,Hyde Park,NY,12538,2,"Private nonprofit, 4-year or above",1497,1317,2814,0,32,164,0,53,105,0,32,70
190558001,College of Staten Island CUNY,Main Campus,2800 VICTORY BLVD,STATEN ISLAND,NY,10314,1,"Public, 4-year or above",6234,8207,14441,0,0,0,1,0,6,1,4,2
190567001,CUNY City College,The City College of New York,160 CONVENT AVE,NEW YORK,NY,10031,1,"Public, 4-year or above",7221,8110,15331,0,13,15,0,10,9,0,2,27
190594001,CUNY Hunter College,Main Campus,695 Park Avenue,New York,NY,10065,1,"Public, 4-year or above",7396,15623,23019,0,0,0,0,0,1,0,1,2
190664001,CUNY Queens College,Queens College,65 30 Kissena Blvd,Flushing,NY,113670904,1,"Public, 4-year or above",7720,11254,18974,0,8,27,0,12,67,1,9,9
190716001,D'Youville College,Main Campus,320 PORTER AVE,BUFFALO,NY,142011084,2,"Private nonprofit, 4-year or above",961,2189,3150,0,0,14,0,0,11,0,1,27
190725001,Daemen College,Main Campus,4380 Main Street,AMHERST,NY,142263592,2,"Private nonprofit, 4-year or above",746,2125,2871,0,6,46,0,8,33,0,2,66
190761001,Dominican College of Blauvelt,Main Campus,470 Western Highway,Orangeburg,NY,109621210,2,"Private nonprofit, 4-year or above",689,1309,1998,0,50,161,0,17,119,0,28,72
190770001,Dowling College,Dowling College,150 Idle Hour Blvd.,Oakdale,NY,117691999,2,"Private nonprofit, 4-year or above",1398,1800,3198,0,3,21,0,0,36,0,0,21
190770002,Dowling College,Dowling College / Brookhaven Campus,1300 William Floyd Parkway,Shirley,NY,119671822,2,"Private nonprofit, 4-year or above",1398,1800,3198,0,4,8,0,1,13,0,0,5
190983001,Elmira College,Main Campus,One Park Place,Elmira,NY,14901,2,"Private nonprofit, 4-year or above",432,1110,1542,0,6,29,0,8,14,0,10,30
191126001,Fashion Institute of Technology,FASHION INSTITUTE OF TECHNOLOGY,7th Avenue  at  27th Street,NEW YORK,NY,100015992,1,"Public, 4-year or above",1503,8252,9755,0,0,10,0,6,3,0,1,12
191241001,Fordham University,Main Campus,441 E FORDHAM RD,BRONX,NY,10458,2,"Private nonprofit, 4-year or above",6412,8685,15097,4,143,592,1,57,539,3,67,546
191241002,Fordham University,FORDHAM UNI-LINCOLN CENTER CAMPUS,113 W 60 ST,NEW YORK,NY,10023,2,"Private nonprofit, 4-year or above",6412,8685,15097,1,12,83,0,41,81,1,19,127
191515001,Hamilton College,Main Campus,198 COLLEGE HILL RD,CLINTON,NY,13323,2,"Private nonprofit, 4-year or above",938,988,1926,1,31,144,1,74,159,0,74,101
191533001,Hartwick College,Main Campus,One Hartwick Drive,ONEONTA,NY,138204020,2,"Private nonprofit, 4-year or above",656,962,1618,0,25,96,1,20,89,0,26,72
191621001,Hilbert College,Main Campus,5200 S PARK AVE,HAMBURG,NY,140751597,2,"Private nonprofit, 4-year or above",479,591,1070,2,7,77,0,8,48,0,8,50
191630001,Hobart William Smith Colleges,Main Campus,300 Pulteney Street,GENEVA,NY,14456,2,"Private nonprofit, 4-year or above",1089,1283,2372,0,96,263,1,63,314,0,140,325
191649001,Hofstra University,Main Campus,1000 Hempstead Turnpike,HEMPSTEAD,NY,115491170,2,"Private nonprofit, 4-year or above",4843,6085,10928,1,200,63,0,106,51,1,121,49
191676001,Houghton College,Main Campus,1 WILLARD AVE,HOUGHTON,NY,14744,2,"Private nonprofit, 4-year or above",397,703,1100,0,3,11,0,0,8,0,2,9
191931001,Iona College,Main Campus,715 NORTH AVE,NEW ROCHELLE,NY,108011890,2,"Private nonprofit, 4-year or above",1897,2344,4241,0,87,391,0,132,418,0,141,482
191968001,Ithaca College,Main Campus,953 DANBY RD,ITHACA,NY,148507000,2,"Private nonprofit, 4-year or above",2865,3858,6723,8,288,658,9,269,426,8,181,440
192192001,Keuka College,Main Campus,Central Avenue,Keuka Park,NY,14478,2,"Private nonprofit, 4-year or above",470,1566,2036,4,18,157,3,14,132,2,21,166
192323001,Le Moyne College,Main Campus,1419 SALT SPRINGS RD,SYRACUSE,NY,132141399,2,"Private nonprofit, 4-year or above",1327,1992,3319,2,27,100,1,22,179,2,19,186
192439001,LIU Brooklyn,Main Campus,UNIVERSITY PLAZA,BROOKLYN,NY,112015372,2,"Private nonprofit, 4-year or above",2499,5984,8483,0,0,0,0,54,24,0,11,1
